"UID";"A";"B";"C";"D";"Modified Date"
"TNRQ";"816";"785";"364";"UC";"2022-08-14"
"6LQW";"745";"653";"76";"J0";"2022-08-14"
"CYD8";"758";"448";"90";"OC";"2022-08-14"
"OBWW";"736";"589";"224";"BS";"2022-08-14"
"4SUN";"652";"451";"261";"9J";"2022-08-14"
"YIDI";"654";"484";"272";"MB";"2022-08-14"
"W8S0";"564";"353";"430";"E8";"2022-08-14"
"PZN9";"441";"335";"113";"X7";"2022-08-14"
"XS0D";"395";"349";"457";"9X";"2022-08-14"
"CK0G";"394";"221";"279";"QT";"2022-08-14"
"FC91";"303";"194";"465";"VP";"2022-08-14"
"AGXW";"271";"191";"467";"QP";"2022-08-14"
"AZ2C";"231";"167";"340";"2G";"2022-08-14"
"21Y4";"148";"145";"119";"0V";"2022-08-14"
"HO6P";"102";"73";"289";"96";"2022-08-14"
"U3TE";"50";"47";"134";"VM";"2022-08-14"
"74DS";"0";"0";"278";"GD";"2022-08-14"
"BSXO";"946";"753";"346";"BW";"2022-08-13"
"6NFF";"819";"892";"31";"O3";"2022-08-13"
"D1Q9";"738";"450";"222";"R8";"2022-08-13"
"ZS6J";"699";"705";"107";"ZJ";"2022-08-13"
"IJBF";"690";"710";"349";"8I";"2022-08-13"
"9RO4";"600";"555";"216";"TJ";"2022-08-13"
"W3F1";"592";"302";"320";"5P";"2022-08-13"
"WM48";"524";"431";"56";"1K";"2022-08-13"
"U6ZB";"410";"302";"183";"9N";"2022-08-13"
"7OIT";"369";"298";"289";"QZ";"2022-08-13"
"8FP0";"301";"191";"33";"OY";"2022-08-13"
"AOCY";"252";"283";"418";"MH";"2022-08-13"
"C0M6";"193";"155";"344";"G8";"2022-08-13"
"UBZ5";"150";"92";"162";"YN";"2022-08-13"
"JF37";"102";"105";"239";"0W";"2022-08-13"
"3VZ5";"50";"43";"123";"9L";"2022-08-13"
"DGDO";"0";"0";"278";"ES";"2022-08-13"
"DHFZ";"879";"802";"368";"48";"2022-08-12"
"G7B3";"773";"771";"341";"2T";"2022-08-12"
"QUKQ";"715";"543";"320";"A2";"2022-08-12"
"TFLG";"692";"530";"349";"64";"2022-08-12"
"VM3M";"627";"658";"455";"T4";"2022-08-12"
"FQQ3";"584";"536";"328";"NP";"2022-08-12"
"8NBQ";"576";"311";"486";"A4";"2022-08-12"
"3BB5";"434";"364";"122";"99";"2022-08-12"
"5XE4";"459";"427";"468";"1X";"2022-08-12"
"3KQM";"413";"308";"100";"QF";"2022-08-12"
"B38V";"345";"199";"134";"F9";"2022-08-12"
"9IZC";"249";"270";"412";"GY";"2022-08-12"
"QFZR";"193";"229";"351";"MT";"2022-08-12"
"G33W";"173";"156";"486";"03";"2022-08-12"
"U4XV";"118";"82";"224";"5Y";"2022-08-12"
"ARHL";"54";"58";"185";"DU";"2022-08-12"
"W9DX";"1";"1";"472";"IF";"2022-08-12"
"SOO5";"878";"737";"185";"25";"2022-08-11"
"ZRR2";"862";"559";"10";"M6";"2022-08-11"
"RGXW";"777";"475";"32";"8J";"2022-08-11"
"MRXZ";"744";"687";"192";"1G";"2022-08-11"
"L22J";"705";"595";"37";"9V";"2022-08-11"
"SPLW";"653";"359";"177";"8J";"2022-08-11"
"XEUZ";"578";"356";"101";"K2";"2022-08-11"
"DOUT";"484";"301";"296";"KG";"2022-08-11"
"ANWJ";"474";"349";"332";"NR";"2022-08-11"
"TSTW";"375";"407";"32";"AT";"2022-08-11"
"EOHX";"308";"263";"162";"O1";"2022-08-11"
"XYHU";"253";"188";"305";"63";"2022-08-11"
"S5DD";"214";"170";"426";"9O";"2022-08-11"
"DOG7";"164";"177";"384";"8E";"2022-08-11"
"LGV8";"113";"65";"290";"B2";"2022-08-11"
"NS2W";"58";"54";"204";"EN";"2022-08-11"
"RHV2";"2";"2";"325";"9K";"2022-08-11"
"QSE1";"953";"558";"133";"OY";"2022-08-10"
"6Y8N";"776";"554";"11";"OQ";"2022-08-10"
"P2HR";"718";"643";"113";"MO";"2022-08-10"
"4RM6";"743";"647";"237";"YL";"2022-08-10"
"L74D";"634";"614";"316";"KF";"2022-08-10"
"9HWU";"634";"632";"403";"9U";"2022-08-10"
"XQ32";"569";"312";"362";"K9";"2022-08-10"
"PWVR";"498";"396";"299";"MX";"2022-08-10"
"E6Z0";"434";"318";"356";"S9";"2022-08-10"
"DR7T";"411";"347";"150";"YH";"2022-08-10"
"J3SQ";"338";"264";"192";"VJ";"2022-08-10"
"ZCME";"281";"190";"484";"2W";"2022-08-10"
"CAW1";"224";"159";"384";"2G";"2022-08-10"
"YYVH";"162";"147";"279";"20";"2022-08-10"
"S0DF";"119";"93";"480";"N8";"2022-08-10"
"VVFE";"52";"43";"66";"05";"2022-08-10"
"MVLR";"3";"2";"329";"L1";"2022-08-10"
"QNMW";"819";"747";"463";"YH";"2022-08-09"
"0KGQ";"817";"625";"391";"FZ";"2022-08-09"
"Z71R";"713";"555";"382";"6E";"2022-08-09"
"NGQD";"684";"766";"31";"69";"2022-08-09"
"H9FY";"650";"433";"420";"0L";"2022-08-09"
"0SB7";"553";"646";"489";"AX";"2022-08-09"
"JI7W";"549";"429";"34";"3A";"2022-08-09"
"WGRF";"510";"516";"398";"N2";"2022-08-09"
"SU26";"452";"291";"64";"57";"2022-08-09"
"5GUP";"362";"292";"147";"QH";"2022-08-09"
"XKER";"301";"220";"404";"2R";"2022-08-09"
"VB92";"290";"242";"420";"L1";"2022-08-09"
"5N0I";"207";"230";"361";"VO";"2022-08-09"
"M6U1";"166";"138";"424";"1F";"2022-08-09"
"3T66";"117";"121";"250";"ZV";"2022-08-09"
"0YKE";"64";"47";"46";"9O";"2022-08-09"
"PNJ9";"4";"4";"30";"PH";"2022-08-09"
"XDSY";"860";"720";"468";"10";"2022-08-08"
"RC8V";"830";"787";"238";"XQ";"2022-08-08"
"4ZYP";"752";"840";"78";"AK";"2022-08-08"
"LIHZ";"727";"554";"247";"KH";"2022-08-08"
"WB3O";"724";"564";"164";"QZ";"2022-08-08"
"2EDJ";"636";"544";"459";"7R";"2022-08-08"
"RPXS";"494";"349";"93";"AG";"2022-08-08"
"73W6";"509";"485";"397";"EY";"2022-08-08"
"OO5L";"484";"427";"211";"KZ";"2022-08-08"
"QOAZ";"363";"322";"185";"6H";"2022-08-08"
"QBK7";"305";"364";"391";"7U";"2022-08-08"
"D8BY";"255";"162";"482";"HC";"2022-08-08"
"NPJY";"206";"169";"390";"EE";"2022-08-08"
"5RJM";"151";"103";"59";"SM";"2022-08-08"
"M53U";"118";"82";"260";"O8";"2022-08-08"
"XXT9";"60";"33";"83";"E5";"2022-08-08"
"K2QY";"4";"4";"147";"LM";"2022-08-08"
"7W36";"957";"555";"213";"58";"2022-08-07"
"RJY5";"736";"902";"310";"EF";"2022-08-07"
"LWVI";"809";"513";"233";"OB";"2022-08-07"
"AOX6";"667";"405";"396";"FX";"2022-08-07"
"S7IH";"637";"386";"25";"M4";"2022-08-07"
"53RU";"633";"335";"150";"1W";"2022-08-07"
"H2BD";"516";"361";"308";"AA";"2022-08-07"
"JI4F";"525";"530";"235";"8X";"2022-08-07"
"60X9";"472";"370";"56";"MI";"2022-08-07"
"MTRU";"398";"286";"496";"2O";"2022-08-07"
"4GJN";"330";"319";"337";"LJ";"2022-08-07"
"RLOU";"291";"201";"317";"MY";"2022-08-07"
"BH7U";"244";"220";"196";"A2";"2022-08-07"
"4I2A";"181";"139";"191";"0Z";"2022-08-07"
"DBED";"121";"97";"303";"0Z";"2022-08-07"
"OERT";"64";"45";"295";"KE";"2022-08-07"
"BWZ2";"6";"6";"334";"QS";"2022-08-07"
"CGHO";"963";"865";"369";"V0";"2022-08-06"
"ENN8";"758";"518";"258";"QQ";"2022-08-06"
"ZUM1";"782";"477";"310";"1P";"2022-08-06"
"MPI5";"643";"617";"284";"ZH";"2022-08-06"
"JOE6";"610";"458";"434";"YM";"2022-08-06"
"NUOW";"598";"516";"372";"1O";"2022-08-06"
"B1IE";"586";"409";"484";"E0";"2022-08-06"
"FG9B";"463";"510";"174";"ME";"2022-08-06"
"27V3";"408";"362";"266";"7C";"2022-08-06"
"CT4E";"363";"220";"210";"O0";"2022-08-06"
"3Z5H";"361";"330";"269";"B7";"2022-08-06"
"N4KW";"262";"217";"78";"UP";"2022-08-06"
"URJL";"246";"231";"319";"QP";"2022-08-06"
"DGZ1";"172";"182";"89";"SN";"2022-08-06"
"1VEN";"109";"114";"254";"LS";"2022-08-06"
"3OKO";"59";"44";"169";"BB";"2022-08-06"
"FAWH";"7";"5";"19";"1A";"2022-08-06"
"EHHI";"933";"686";"415";"B1";"2022-08-05"
"ZDY6";"865";"527";"77";"YF";"2022-08-05"
"6HUV";"819";"768";"247";"RF";"2022-08-05"
"Z15F";"667";"710";"423";"NP";"2022-08-05"
"YNO8";"622";"480";"65";"S7";"2022-08-05"
"WEFR";"643";"423";"229";"JX";"2022-08-05"
"8B73";"528";"491";"99";"3D";"2022-08-05"
"I4GM";"526";"511";"446";"QA";"2022-08-05"
"KSE7";"482";"389";"380";"S1";"2022-08-05"
"20CQ";"367";"394";"220";"BV";"2022-08-05"
"GPE5";"332";"316";"184";"FB";"2022-08-05"
"1AGR";"251";"180";"184";"L2";"2022-08-05"
"S434";"241";"176";"91";"U9";"2022-08-05"
"4IS4";"172";"159";"91";"1W";"2022-08-05"
"T1DO";"118";"111";"10";"XC";"2022-08-05"
"A7E8";"57";"36";"172";"9D";"2022-08-05"
"R69W";"8";"6";"52";"G2";"2022-08-05"
"WBMV";"808";"824";"432";"ME";"2022-08-04"
"2TM4";"794";"666";"185";"J2";"2022-08-04"
"C503";"784";"653";"392";"WT";"2022-08-04"
"IBWP";"782";"700";"130";"0Z";"2022-08-04"
"LX4A";"712";"704";"119";"1T";"2022-08-04"
"A8UC";"565";"419";"227";"7H";"2022-08-04"
"XR0P";"532";"533";"76";"JE";"2022-08-04"
"1GMZ";"510";"343";"185";"R1";"2022-08-04"
"8SJY";"396";"258";"16";"NB";"2022-08-04"
"5DO3";"353";"352";"493";"C0";"2022-08-04"
"EWOW";"361";"243";"414";"4L";"2022-08-04"
"R50O";"261";"232";"69";"FX";"2022-08-04"
"L6WE";"245";"247";"226";"E5";"2022-08-04"
"LMPR";"170";"175";"114";"NL";"2022-08-04"
"K45I";"107";"112";"364";"4T";"2022-08-04"
"P4V0";"58";"65";"308";"QP";"2022-08-04"
"5XJ8";"9";"7";"63";"HE";"2022-08-04"
"A3YD";"832";"558";"476";"0B";"2022-08-03"
"6L6K";"776";"809";"268";"JY";"2022-08-03"
"6IV5";"708";"702";"396";"8V";"2022-08-03"
"X3GY";"737";"665";"329";"EW";"2022-08-03"
"GC86";"648";"656";"327";"11";"2022-08-03"
"4SAE";"657";"440";"385";"L5";"2022-08-03"
"USIL";"500";"328";"115";"R9";"2022-08-03"
"OTOM";"468";"449";"368";"ET";"2022-08-03"
"MRQH";"405";"462";"150";"9V";"2022-08-03"
"D510";"361";"243";"325";"BG";"2022-08-03"
"4YUF";"320";"315";"137";"PV";"2022-08-03"
"51K7";"288";"214";"285";"B3";"2022-08-03"
"8PJN";"213";"212";"470";"AZ";"2022-08-03"
"W11S";"184";"153";"115";"HN";"2022-08-03"
"Q78U";"126";"114";"191";"O0";"2022-08-03"
"RPTE";"65";"50";"239";"N0";"2022-08-03"
"7KF9";"10";"9";"176";"N1";"2022-08-03"
"555Y";"903";"741";"215";"OT";"2022-08-02"
"KOEW";"765";"491";"189";"L6";"2022-08-02"
"QK2T";"746";"491";"33";"OQ";"2022-08-02"
"3RR8";"732";"762";"253";"L1";"2022-08-02"
"TBE5";"585";"535";"371";"OM";"2022-08-02"
"61JK";"583";"479";"305";"4K";"2022-08-02"
"1O95";"537";"557";"394";"MB";"2022-08-02"
"VD3P";"526";"406";"138";"AX";"2022-08-02"
"4ZPZ";"394";"347";"230";"9Y";"2022-08-02"
"SQ3F";"431";"228";"357";"EO";"2022-08-02"
"V4LL";"360";"370";"269";"28";"2022-08-02"
"EM0O";"254";"280";"237";"R6";"2022-08-02"
"SCWB";"240";"194";"41";"IU";"2022-08-02"
"18ZP";"190";"133";"20";"SK";"2022-08-02"
"SEDJ";"109";"96";"439";"V6";"2022-08-02"
"ZUWI";"67";"48";"229";"EV";"2022-08-02"
"8KPL";"10";"10";"51";"OD";"2022-08-02"
"UZO9";"967";"823";"74";"KS";"2022-08-01"
"0G2C";"881";"526";"165";"WA";"2022-08-01"
"5L42";"803";"807";"487";"YW";"2022-08-01"
"MHGH";"710";"784";"236";"TB";"2022-08-01"
"I5SN";"600";"720";"409";"PU";"2022-08-01"
"C99F";"626";"465";"233";"ER";"2022-08-01"
"1QGH";"559";"322";"232";"YL";"2022-08-01"
"6J4Z";"526";"442";"379";"EP";"2022-08-01"
"4L87";"483";"471";"230";"6Y";"2022-08-01"
"XA8A";"381";"284";"139";"CR";"2022-08-01"
"B1X8";"355";"250";"456";"L8";"2022-08-01"
"V1HG";"278";"293";"192";"T1";"2022-08-01"
"ENAM";"234";"149";"68";"LP";"2022-08-01"
"HKND";"179";"169";"83";"P6";"2022-08-01"
"C0OM";"130";"86";"337";"L9";"2022-08-01"
"J5AJ";"67";"43";"489";"IW";"2022-08-01"
"NSIP";"12";"10";"325";"WU";"2022-08-01"
"S5GZ";"915";"965";"372";"1C";"2022-07-31"
"W9Y1";"769";"564";"270";"BG";"2022-07-31"
"TMVT";"697";"464";"455";"JS";"2022-07-31"
"CWK1";"641";"756";"432";"30";"2022-07-31"
"74P9";"716";"626";"449";"F6";"2022-07-31"
"VOUU";"621";"606";"248";"6H";"2022-07-31"
"CF4L";"613";"353";"126";"IB";"2022-07-31"
"FIE7";"524";"543";"467";"AD";"2022-07-31"
"AR9J";"464";"413";"451";"VR";"2022-07-31"
"NUG2";"362";"409";"339";"MA";"2022-07-31"
"RYUO";"337";"370";"391";"O7";"2022-07-31"
"PNC6";"307";"188";"312";"O6";"2022-07-31"
"O5Z3";"242";"139";"98";"F9";"2022-07-31"
"LOXT";"193";"138";"496";"QW";"2022-07-31"
"AJW7";"124";"105";"430";"SO";"2022-07-31"
"QT5T";"59";"50";"478";"WQ";"2022-07-31"
"86H1";"11";"13";"295";"6O";"2022-07-31"
"XNSX";"853";"967";"296";"0K";"2022-07-30"
"KMNC";"778";"712";"336";"JW";"2022-07-30"
"UH84";"726";"695";"62";"7X";"2022-07-30"
"NYTX";"775";"455";"153";"SO";"2022-07-30"
"SV3M";"706";"444";"179";"0E";"2022-07-30"
"NOCL";"674";"419";"225";"SJ";"2022-07-30"
"J58R";"495";"531";"342";"WG";"2022-07-30"
"KSO9";"460";"466";"291";"KP";"2022-07-30"
"DBUB";"416";"248";"150";"5P";"2022-07-30"
"7NCU";"415";"388";"379";"0S";"2022-07-30"
"VY7Z";"305";"278";"369";"LT";"2022-07-30"
"7RBV";"312";"265";"299";"VW";"2022-07-30"
"P0EZ";"226";"219";"136";"PF";"2022-07-30"
"LHIZ";"158";"125";"452";"Y1";"2022-07-30"
"95DW";"132";"104";"389";"GY";"2022-07-30"
"YFRP";"65";"48";"355";"MO";"2022-07-30"
"INTI";"12";"10";"259";"3M";"2022-07-30"
"7X55";"783";"671";"233";"WU";"2022-07-29"
"EH3D";"770";"474";"384";"2U";"2022-07-29"
"BLA2";"782";"645";"343";"XX";"2022-07-29"
"9D95";"725";"590";"362";"KU";"2022-07-29"
"BCUD";"724";"664";"419";"52";"2022-07-29"
"VFZ5";"664";"461";"115";"1H";"2022-07-29"
"8YIC";"603";"504";"219";"4A";"2022-07-29"
"05IM";"453";"393";"495";"HA";"2022-07-29"
"1YKP";"444";"399";"348";"9U";"2022-07-29"
"5O7Z";"428";"301";"328";"3Q";"2022-07-29"
"YVFJ";"355";"300";"421";"ZS";"2022-07-29"
"W3ZZ";"257";"210";"22";"PQ";"2022-07-29"
"DJ58";"244";"206";"333";"3F";"2022-07-29"
"17CG";"160";"117";"219";"TC";"2022-07-29"
"8STT";"122";"85";"35";"41";"2022-07-29"
"IHWG";"72";"49";"290";"8F";"2022-07-29"
"AKHH";"14";"13";"343";"Z9";"2022-07-29"
"1Z2P";"826";"673";"262";"G9";"2022-07-28"
"4NRL";"889";"801";"331";"6A";"2022-07-28"
"T56D";"779";"698";"143";"2L";"2022-07-28"
"S9AF";"796";"510";"223";"CU";"2022-07-28"
"7UIM";"658";"447";"440";"LC";"2022-07-28"
"F6R8";"592";"497";"180";"0Q";"2022-07-28"
"6RU1";"593";"612";"133";"NP";"2022-07-28"
"SGXU";"513";"490";"212";"QY";"2022-07-28"
"KOC3";"495";"399";"124";"2H";"2022-07-28"
"D060";"402";"428";"45";"RS";"2022-07-28"
"NZIU";"341";"235";"385";"ZR";"2022-07-28"
"Q0AA";"295";"162";"258";"3V";"2022-07-28"
"3QW1";"214";"190";"258";"SQ";"2022-07-28"
"IUCB";"164";"178";"120";"OJ";"2022-07-28"
"1KKB";"128";"74";"292";"CU";"2022-07-28"
"CFRA";"70";"55";"126";"CI";"2022-07-28"
"Q76K";"16";"10";"383";"M9";"2022-07-28"
"X460";"882";"940";"224";"6I";"2022-07-27"
"WIZH";"760";"540";"348";"28";"2022-07-27"
"2ZBU";"783";"653";"119";"P3";"2022-07-27"
"QF7U";"733";"576";"18";"E9";"2022-07-27"
"2LIQ";"676";"569";"138";"WL";"2022-07-27"
"S1JT";"605";"638";"391";"YQ";"2022-07-27"
"WKNM";"538";"377";"380";"VX";"2022-07-27"
"XDWZ";"551";"320";"130";"UX";"2022-07-27"
"LQUF";"439";"496";"157";"T1";"2022-07-27"
"IXBX";"403";"320";"6";"XF";"2022-07-27"
"R6FD";"365";"332";"212";"47";"2022-07-27"
"GNLL";"283";"301";"259";"0F";"2022-07-27"
"TI1T";"246";"254";"95";"V3";"2022-07-27"
"JONN";"176";"179";"289";"XT";"2022-07-27"
"EJD1";"120";"112";"42";"TU";"2022-07-27"
"Z1XA";"77";"48";"445";"Z6";"2022-07-27"
"3BQQ";"17";"11";"191";"WS";"2022-07-27"
"JJ5L";"973";"498";"382";"FB";"2022-07-26"
"I5F7";"821";"715";"22";"AE";"2022-07-26"
"0VPC";"786";"507";"273";"94";"2022-07-26"
"1ATC";"712";"742";"339";"ZP";"2022-07-26"
"NM9L";"603";"604";"52";"3A";"2022-07-26"
"P51H";"555";"590";"222";"QN";"2022-07-26"
"4AGR";"539";"424";"67";"5C";"2022-07-26"
"LKVY";"460";"416";"49";"XT";"2022-07-26"
"C90M";"462";"281";"270";"K6";"2022-07-26"
